ID de actividad,Fecha de la actividad,Nombre de la actividad,Tipo de actividad,Descripción de la actividad,Tiempo transcurrido,Distancia,Ritmo cardiaco máximo,Esfuerzo Relativo,Desplazamiento,Nota privada de actividad,Equipamiento de la actividad,Nombre del archivo,Peso del deportista,Peso de la bicicleta,Tiempo transcurrido,Tiempo en movimiento,Distancia,Velocidad máxima,Velocidad promedio,Desnivel positivo,Desnivel negativo,Desnivel bajo,Desnivel alto,Pendiente máxima,Pendiente promedio,Pendiente positiva promedio,Pendiente negativa promedio,Cadencia máx.,Cadencia promedio,Ritmo cardiaco máximo,Ritmo cardiaco promedio,Vatios máx.,Vatios promedio,Calorías,Temperatura máx.,Temperatura promedio,Esfuerzo Relativo,Trabajo total,Número de carreras,Tiempo en ascenso,Tiempo en descenso,Otro tiempo,Esfuerzo Percibido,Tipo,Hora de inicio,Potencia promedio ponderada,Recuento de potencia,Usar Esfuerzo Percibido,Esfuerzo Relativo percibido,Desplazamiento,Peso total levantado,Desde la carga,Distancia ajustada en pendientes,Hora de observación meteorológica,Condición meteorológica,Temperatura meteorológica,Temperatura aparente,Punto de rocío,Humedad,Presión meteorológica,Velocidad del viento,Ráfaga de viento,Dirección del viento,Intensidad de precipitación,Hora del amanecer,Hora del atardecer,Fase lunar,Bicicleta,Equipamiento,Probabilidad de precipitación,Tipo de precipitación,Nubosidad,Visibilidad meteorológica,Índice UV,Ozono meteorológico,Recuento de saltos,Grit total,Flow promedio,Denunciado,Velocidad promedio durante el tiempo transcurrido,Distancia en tierra,Distancia recientemente explorada,Distancia en rampas de tierra recientemente explorada,Recuento de actividades,Total de pasos,Ahorro en carbono,Largo de la piscina,Carga de entrenamiento,Intensidad,Ritmo ajustado en pendientes promedio,Tiempo cronometrado,Ciclos en total,Recuperación,Con mascota,Competición,Carrera de larga distancia,Por una causa,Multimedia
13790099524,4 mar. 2025 19:08:23,10km,Carrera,juntasss🪬🪬💘💘💘,3579,"10,00",,,false,,,activities/13790099524.gpx,,,3579.0,3533.0,10004.7,8.1,2.832,26.5,26.2,68.9,80.2,23.3,0.0,,,,,,,,,741.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,10057.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.795,695.9,,,,9466.0,,,,,2.847,,,,,,,,media/D4EAFAA7-565D-485C-A770-4A5796B65AFD.jpg|media/6BB48B33-A046-494C-9B08-782D30A1D32E.jpg|media/FDFCA6ED-D7D0-41C6-ABD2-17344A323858.jpg
13823060034,8 mar. 2025 12:58:28,flatoooo,Carrera,a estudiar,754,"2,35",,,false,,,activities/13823060034.gpx,,,754.0,754.0,2355.5,5.26,3.124,4.1,8.6,62.9,71.8,5.5,-0.2,,,,,,,,,173.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,2351.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.124,0.0,,,,1998.0,,,,,3.119,,,,,,,,media/7D974FDD-A917-4415-B9CD-23E409106535.jpg
13880332487,14 mar. 2025 13:40:23,Carrera de tarde,Carrera,"",1031,"3,13",,,false,,,activities/13880332487.gpx,,,1031.0,1006.0,3134.2,7.7,3.116,10.5,10.5,62.9,77.1,7.4,-0.2,,,,,,,,,231.0,,,,,,,,,,,,,,,,0.0,,1.0,3135.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.04,0.0,,,,2750.0,,,,,3.117,,,,,,,,""
13895063856,16 mar. 2025 8:00:23,preplaya,Carrera,"",1731,"5,00",,,false,,,activities/13895063856.gpx,,,1731.0,1721.0,5005.8,10.74,2.909,25.9,27.6,60.1,76.7,27.0,0.0,,,,,,,,,376.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5098.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.892,0.0,,,,4686.0,,,,,2.962,,,,,,,,media/FA3F8E46-DE1F-4A8A-88E8-49100CFE12EA.jpg|media/EE616654-92AA-4527-B420-21D4547F035E.jpg
14032739365,30 mar. 2025 17:25:56,pre greciaaaa,Carrera,no hemos corrido tan rápido Y QUE,1773,"5,42",,,false,,,activities/14032739365.gpx,,,1773.0,1759.0,5428.6,6.74,3.086,28.0,20.8,70.8,81.3,16.6,0.1,,,,,,,,,406.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5502.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.062,0.0,,,,4756.0,,,,,3.128,,,,,,,,media/68E36AC2-85C0-4E30-B694-BE379045AE44.jpg|media/5C88883D-8A04-4141-8FC9-6862B6C38831.jpg|media/2E4B9EE5-C14D-4B1F-97C3-7119E73CD843.jpg
14139003877,10 abr. 2025 17:25:12,Carrera de noche con mis girlssss,Carrera,"",1656,"5,00",,,false,,,activities/14139003877.gpx,,,1656.0,1656.0,5007.1,7.48,3.024,8.3,16.0,64.4,74.3,5.6,-0.1,,,,,,,,,369.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5005.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.024,0.0,,,,4430.0,,,,,3.022,,,,,,,,media/3A299C47-395D-4BCE-9E04-44CA21E868B2.jpg|media/948F114A-8A12-47AD-9D22-3731D17C78CE.jpg|media/96EE47A7-4C2D-4DF4-8738-FF781097CC22.jpg|media/7C9C1141-5D64-4ACD-915A-DE07A0AC21C0.jpg
14187271095,15 abr. 2025 18:02:02,preparando… 🏃🏼‍♀️🏃🏼‍♀️✨,Carrera,"",2177,"6,00",,,false,,,activities/14187271095.gpx,,,2177.0,2174.0,6006.3,5.42,2.763,23.2,23.2,60.2,72.6,6.9,-0.1,,,,,,,,,444.0,,,,,,,,,,,,,,,,0.0,,1.0,6016.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.759,0.0,,,,5822.0,,,,,2.767,,,,,,,,media/9E039539-9373-4325-8435-EB736849A61B.jpg|media/75C1D037-E0FB-425D-9768-447E51E8BA86.jpg|media/11CB2456-C467-47DB-843F-5D65241E1BE4.jpg
14206390850,17 abr. 2025 17:59:55,putos coches,Carrera,con clari 🩵,2998,"8,01",,,false,,,activities/14206390850.gpx,,,2998.0,2789.0,8017.1,7.86,2.875,15.3,22.1,68.6,79.6,33.1,-0.1,,,,,,,,,594.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,8060.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.674,270.5,,,,7500.0,,,,,2.89,,,,,,,,media/27D71596-387E-4EF4-AABA-D5962D5697F4.jpg|media/3D410E7C-D775-44F9-BCC4-7CB8EA37FCDD.jpg|media/35896A11-F29C-4565-8602-235DADEBC86B.jpg|media/BCAE8AB7-5D75-4F7A-B443-44B5FC711B89.jpg
14212174506,18 abr. 2025 11:44:58,sprint,Carrera,"",406,"0,35",,,false,,,activities/14212174506.gpx,,,406.0,76.0,349.1,6.52,4.593,0.0,0.0,69.9,70.4,1.6,-0.1,,,,,,,,,26.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.86,0.0,,,,160.0,,,,,4.592,,,,,,,,media/61BC8D76-474B-4A39-AADA-09D2CD6ECC00.jpg|media/A0EABE73-BEA6-4234-84E6-74DE215285CD.jpg
14226232853,19 abr. 2025 17:27:47,mis primeros 15km 🥹 muuuy feliz,Carrera,estoy súper orgullosa y con ganas de llorar de la emoticón,5608,"15,00",,,false,,,activities/14226232853.gpx,,,5608.0,5574.0,15008.7,7.4,2.693,54.1,46.9,60.2,83.7,24.2,0.0,,,,,,,,,1116.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,15135.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.676,0.0,,,,13928.0,,,,,2.715,,,,,,,,media/A0D8877A-44AE-4E2F-A958-9110BE30C031.jpg|media/C0A3BC00-3203-48D1-A6A5-3277819F7B4B.jpg|media/A7473208-BC9A-4D16-ABBC-FA0DB829CA79.jpg|media/9AD2CC0D-8687-48E9-86F6-49B02BE4C9B3.jpg|media/6AF3E289-A35F-4F76-9B08-11862AC7B785.jpg|media/4FB01598-D1C6-4CCB-B2C0-3C5AA8DF6680.jpg|media/A9E4E7D3-2FC2-44CA-8E53-1785976D20D3.jpg
14325204580,29 abr. 2025 17:53:43,después de muuuucho,Carrera,we are back,1748,"5,00",,,false,,,activities/14325204580.gpx,,,1748.0,1734.0,5001.7,10.12,2.884,15.9,15.4,60.2,72.6,5.9,0.0,,,,,,,,,370.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5014.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.861,0.0,,,,4518.0,,,,,2.892,,,,,,,,media/7A924010-DE92-4035-BEA6-200AE4DA1713.jpg|media/1ECE2BF4-8F03-4D82-856C-54A11C8D4FEE.jpg|media/4ADF8968-2377-48C1-8B26-6D4E4B65AD59.jpg
